data.total_bytes_received
671763730
677754550
701697172
688221270
719098094
684303136
700891510
692669626
592801968
388969482
679806578
687663504
667336032
673175360
502974098
551327590
506658108
484058256
516766756
513227352
615133266
420259466
456576230
520939672
431228864
305655768
455798112
385609114
348755242
374791208
370680266
414750666
437584642
548614506
536956508
647173824
594544126
641816516
717693350
700140936
587885364
653192188
644047580
612847114
617543366
547760642
627046046
724510490
696732366
638958826
601147800
613639004
609810388
649260282
650327612
608887664
638015444
637547196
551782066
542857810

